NUTS2_Label_2016,score
Provincia Autonoma di Bolzano/Bozen,68.0
Lombardia,62.89
Marche,62.73
Liguria,62.49
Provincia Autonoma di Trento,62.4
Abruzzo,61.86
Sardegna,60.24
Piemonte,60.01
Umbria,59.43
Emilia-Romagna,58.96
Toscana,58.88
Valle d’Aosta/Vallée d’Aoste,58.16
Lazio,57.33
Campania,56.08
Calabria,55.9
Molise,55.52
Sicilia,53.5
Friuli-Venezia Giulia,52.42
Veneto,51.19
Puglia,50.1
Basilicata,41.47
