ETER_ID,country,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,assessment_datetime_https,assessment_datetime_sh,score,grade
DE0030,de,Charité - Universitätsmedizin Berlin,public,Other,No,DE30,Berlin,Berlin,DE300,Berlin,Berlin,2025-01-27 12:20:03.799343,2025-01-28 12:05:11.710593,92.49,A
DE0031,de,Humboldt-Universität zu Berlin,public,University,Yes,DE30,Berlin,Berlin,DE300,Berlin,Berlin,2025-01-27 12:20:47.172565,2025-01-28 12:05:22.517875,84.84,A
DE0032,de,ESCP-EAP Europäische Wirtschaftshochschule Berlin,private,University,No,DE30,Berlin,Berlin,DE300,Berlin,Berlin,2025-01-27 12:21:47.200879,2025-01-28 12:05:37.922205,72.23,B
DE0033,de,"European School of Management and Technology, Berlin (Priv. H)",private,University,No,DE30,Berlin,Berlin,DE300,Berlin,Berlin,2025-01-27 12:25:14.964141,2025-01-28 12:05:32.981518,73.54,B
DE0034,de,Hertie School of Governance Berlin (Priv. wiss. H),private,University,Yes,DE30,Berlin,Berlin,DE300,Berlin,Berlin,2025-01-27 12:47:03.757736,2025-01-28 12:05:51.136955,75.91,B
DE0035,de,Steinbeis-Hochschule Berlin (Priv. H),private,University,No,DE30,Berlin,Berlin,DE300,Berlin,Berlin,2025-01-27 12:22:05.009611,2025-01-28 12:05:50.979605,77.99,B
DE0038,de,Europa-Universität Viadrina Frankfurt (Oder),public,University,No,DE40,Brandenburg,Brandenburg,DE403,"Frankfurt (Oder), Kreisfreie Stadt","Frankfurt (Oder), Kreisfreie Stadt",2025-01-27 12:22:39.861982,2025-01-28 12:06:06.542777,74.32,B
DE0039,de,Universität Potsdam,public,University,Yes,DE40,Brandenburg,Brandenburg,DE404,"Potsdam, Kreisfreie Stadt","Potsdam, Kreisfreie Stadt",2025-01-27 12:25:18.984301,2025-01-28 12:06:18.333145,77.55,B
DE0040,de,Universität Bremen,public,University,Yes,DE50,Bremen,Bremen,DE501,"Bremen, Kreisfreie Stadt","Bremen, Kreisfreie Stadt",2025-01-27 12:25:09.531535,2025-01-28 12:06:17.660643,81.04,A
DE0041,de,Jacobs University Bremen (Priv. H),private,University,No,DE50,Bremen,Bremen,DE501,"Bremen, Kreisfreie Stadt","Bremen, Kreisfreie Stadt",2025-01-27 12:24:11.172678,2025-01-28 12:06:40.212740,73.54,B
DE0042,de,Universität Hamburg,public,University,No,DE60,Hamburg,Hamburg,DE600,Hamburg,Hamburg,2025-01-27 12:23:43.933812,2025-01-28 12:06:45.673254,80.44,A
DE0043,de,Technische Universität Hamburg-Harburg,public,University,Yes,DE60,Hamburg,Hamburg,DE600,Hamburg,Hamburg,2025-01-27 12:26:32.050872,2025-01-28 12:06:44.942490,78.35,B
DE0044,de,Hafencity Universität Hamburg,public,University,No,DE60,Hamburg,Hamburg,DE600,Hamburg,Hamburg,2025-01-27 12:26:52.299496,2025-01-28 12:07:07.172818,78.06,B
DE0045,de,Helmut-Schmidt-Universität Hamburg,public,University,No,DE60,Hamburg,Hamburg,DE600,Hamburg,Hamburg,2025-01-27 12:35:09.258570,2025-01-28 12:07:07.164820,72.59,B
DE0046,de,Bucerius Law School Hamburg (Priv. H),private,University,No,DE60,Hamburg,Hamburg,DE600,Hamburg,Hamburg,2025-01-27 12:27:38.473962,2025-01-28 12:07:09.885373,78.06,B
DE0047,de,Technische Universität Darmstadt,public,University,Yes,DE71,Darmstadt,Darmstadt,DE711,"Darmstadt, Kreisfreie Stadt","Darmstadt, Kreisfreie Stadt",2025-01-27 12:28:10.328559,2025-01-28 12:09:47.147300,81.81,A
DE0048,de,Johann Wolfgang Goethe-Universität Frankfurt am Main,public,University,No,DE71,Darmstadt,Darmstadt,DE712,"Frankfurt am Main, Kreisfreie Stadt","Frankfurt am Main, Kreisfreie Stadt",2025-01-27 12:28:04.579439,2025-01-28 12:07:28.102694,80.55,A
DE0049,de,Justus-Liebig-Universität Gießen,public,University,No,DE72,Gießen,Gießen,DE721,"Gießen, Landkreis","Gießen, Landkreis",2025-01-27 12:28:57.114322,2025-01-28 12:07:26.457901,75.24,B
DE0051,de,Universität Kassel,public,University,No,DE73,Kassel,Kassel,DE731,"Kassel, Kreisfreie Stadt","Kassel, Kreisfreie Stadt",2025-01-27 12:35:49.367558,2025-01-28 12:07:35.453586,86.04,A
DE0052,de,Philipps-Universität Marburg,public,University,No,DE72,Gießen,Gießen,DE724,Marburg-Biedenkopf,Marburg-Biedenkopf,2025-01-27 12:29:45.781767,2025-01-28 12:07:47.563492,84.91,A
DE0053,de,Frankfurt School of Finance & Management-HfB (Priv. H),private,University,No,DE71,Darmstadt,Darmstadt,DE712,"Frankfurt am Main, Kreisfreie Stadt","Frankfurt am Main, Kreisfreie Stadt",2025-01-27 12:29:12.739985,2025-01-28 12:07:51.295044,72.59,B
DE0054,de,EBS Universität für Wirtschaft und Recht (Priv.),private,University,No,DE71,Darmstadt,Darmstadt,DE71D,Rheingau-Taunus-Kreis,Rheingau-Taunus-Kreis,2025-01-27 12:32:46.583942,2025-01-28 12:08:00.024186,78.34,B
DE0055,de,Universität Greifswald,public,University,No,DE80,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,DE80N,Vorpommern-Greifswald,Vorpommern-Greifswald,2025-01-27 12:31:10.337237,2025-01-28 12:08:29.536346,81.24,A
DE0056,de,Universität Rostock,public,University,No,DE80,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,DE803,"Rostock, Kreisfreie Stadt","Rostock, Kreisfreie Stadt",2025-01-27 12:31:11.258335,2025-01-28 12:08:21.402257,80.58,A
DE0058,de,Technische Universität Carolo-Wilhelmina zu Braunschweig,public,University,No,DE91,Braunschweig,Braunschweig,DE911,"Braunschweig, Kreisfreie Stadt","Braunschweig, Kreisfreie Stadt",2025-01-27 12:32:54.604380,2025-01-28 12:08:40.973808,85.89,A
DE0059,de,Technische Universität Clausthal,public,University,No,DE91,Braunschweig,Braunschweig,DE916,Goslar,Goslar,2025-01-27 12:32:34.236662,2025-01-28 12:08:52.160915,77.71,B
