ETER_ID,country,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,assessment_datetime_https,assessment_datetime_sh,score,grade
IT0148,it,"Conservatorio di BOLZANO ""Claudio Monteverdi""",public,Other,No,ITH1,Provincia Autonoma di Bolzano/Bozen,Provincia Autonoma di Bolzano/Bozen,ITH10,Bolzano-Bozen,Bolzano-Bozen,2025-01-27 16:46:49.126574,2025-01-28 11:38:43.760549,90.69,A
IT0149,it,"Conservatorio di BRESCIA ""Luca Marenzio""",public,Other,No,ITC4,Lombardia,Lombardia,ITC47,Brescia,Brescia,2025-01-27 16:47:50.526470,2025-01-28 11:38:46.798558,70.6,B
IT0150,it,"Conservatorio di CAGLIARI ""Pierluigi da Palestrina""",public,Other,No,ITG2,Sardegna,Sardegna,ITG2F,,Cagliari,2025-01-27 16:45:48.548869,2025-01-28 11:39:05.496280,80.24,A
IT0151,it,"Conservatorio di CAMPOBASSO ""Lorenzo Perosi""",public,Other,No,ITF2,Molise,Molise,ITF22,Campobasso,Campobasso,2025-01-27 16:48:06.382030,2025-01-28 11:39:03.745631,71.8,B
IT0152,it,"Conservatorio di CASTELFRANCO VENETO (TV) ""Agostino Steffani""",public,Other,No,ITH3,Veneto,Veneto,ITH34,Treviso,Treviso,2025-01-27 16:48:32.865508,2025-01-28 11:39:06.259093,71.8,B
IT0153,it,"Conservatorio di CESENA (FC) ""Bruno Maderna""",public,Other,No,ITH5,Emilia-Romagna,Emilia-Romagna,ITH58,Forlì-Cesena,Forlì-Cesena,2025-01-27 16:49:30.497257,2025-01-28 11:39:23.840489,74.39,B
IT0154,it,"Conservatorio di COMO ""Giuseppe Verdi""",public,Other,No,ITC4,Lombardia,Lombardia,ITC42,Como,Como,2025-01-27 16:50:22.585665,2025-01-28 11:41:31.550956,72.24,B
IT0155,it,"Conservatorio di COSENZA ""Stanislao Giacomantonio""",public,Other,No,ITF6,Calabria,Calabria,ITF61,Cosenza,Cosenza,2025-01-27 16:50:03.229708,2025-01-28 11:39:36.611802,71.8,B
IT0156,it,"Conservatorio di CUNEO ""G.F. Ghedini""",public,Other,No,ITC1,Piemonte,Piemonte,ITC16,Cuneo,Cuneo,2025-01-28 17:51:33.132483,2025-01-28 11:39:52.462510,73.6,B
IT0157,it,"Conservatorio di FERMO ""Giovambattista Pergolesi""",public,Other,No,ITI3,Marche,Marche,ITI35,Fermo,Fermo,2025-01-27 16:51:28.579035,2025-01-28 11:40:06.579170,79.19,B
