ETER_ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,Url,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021
DE0040,Universität Bremen,public,University,Yes,www.uni-bremen.de,DE50,Bremen,Bremen,DE501,"Bremen, Kreisfreie Stadt","Bremen, Kreisfreie Stadt"
DE0041,Jacobs University Bremen (Priv. H),private,University,No,www.jacobs-university.de,DE50,Bremen,Bremen,DE501,"Bremen, Kreisfreie Stadt","Bremen, Kreisfreie Stadt"
DE0042,Universität Hamburg,public,University,No,www.uni-hamburg.de,DE60,Hamburg,Hamburg,DE600,Hamburg,Hamburg
DE0043,Technische Universität Hamburg-Harburg,public,University,Yes,www.tuhh.de,DE60,Hamburg,Hamburg,DE600,Hamburg,Hamburg
DE0044,Hafencity Universität Hamburg,public,University,No,www.hcu-hamburg.de,DE60,Hamburg,Hamburg,DE600,Hamburg,Hamburg
DE0045,Helmut-Schmidt-Universität Hamburg,public,University,No,www.hsu-hh.de,DE60,Hamburg,Hamburg,DE600,Hamburg,Hamburg
DE0046,Bucerius Law School Hamburg (Priv. H),private,University,No,www.law-school.de,DE60,Hamburg,Hamburg,DE600,Hamburg,Hamburg
DE0047,Technische Universität Darmstadt,public,University,Yes,www.tu-darmstadt.de,DE71,Darmstadt,Darmstadt,DE711,"Darmstadt, Kreisfreie Stadt","Darmstadt, Kreisfreie Stadt"
DE0048,Johann Wolfgang Goethe-Universität Frankfurt am Main,public,University,No,www.goethe-university-frankfurt.de,DE71,Darmstadt,Darmstadt,DE712,"Frankfurt am Main, Kreisfreie Stadt","Frankfurt am Main, Kreisfreie Stadt"
DE0049,Justus-Liebig-Universität Gießen,public,University,No,www.uni-giessen.de,DE72,Gießen,Gießen,DE721,"Gießen, Landkreis","Gießen, Landkreis"
DE0051,Universität Kassel,public,University,No,www.uni-kassel.de,DE73,Kassel,Kassel,DE731,"Kassel, Kreisfreie Stadt","Kassel, Kreisfreie Stadt"
DE0052,Philipps-Universität Marburg,public,University,No,www.uni-marburg.de,DE72,Gießen,Gießen,DE724,Marburg-Biedenkopf,Marburg-Biedenkopf
DE0053,Frankfurt School of Finance & Management-HfB (Priv. H),private,University,No,www.frankfurt-school.de,DE71,Darmstadt,Darmstadt,DE712,"Frankfurt am Main, Kreisfreie Stadt","Frankfurt am Main, Kreisfreie Stadt"
DE0054,EBS Universität für Wirtschaft und Recht (Priv.),private,University,No,www.ebs.edu,DE71,Darmstadt,Darmstadt,DE71D,Rheingau-Taunus-Kreis,Rheingau-Taunus-Kreis
DE0055,Universität Greifswald,public,University,No,www.uni-greifswald.de,DE80,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,DE80N,Vorpommern-Greifswald,Vorpommern-Greifswald
DE0056,Universität Rostock,public,University,No,www.uni-rostock.de,DE80,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,DE803,"Rostock, Kreisfreie Stadt","Rostock, Kreisfreie Stadt"
DE0058,Technische Universität Carolo-Wilhelmina zu Braunschweig,public,University,No,www.tu-braunschweig.de,DE91,Braunschweig,Braunschweig,DE911,"Braunschweig, Kreisfreie Stadt","Braunschweig, Kreisfreie Stadt"
DE0059,Technische Universität Clausthal,public,University,No,www.tu-clausthal.de,DE91,Braunschweig,Braunschweig,DE916,Goslar,Goslar
DE0060,Georg-August-Universität Göttingen,public,University,Yes,www.uni-goettingen.de,DE91,Braunschweig,Braunschweig,DE91C,Göttingen,Göttingen
DE0061,Gottfried Wilhelm Leibniz Universität Hannover,public,University,No,www.uni-hannover.de,DE92,Hannover,Hannover,DE929,Region Hannover,Region Hannover
DE0062,Medizinische Hochschule Hannover,public,University,No,www.mh-hannover.de,DE92,Hannover,Hannover,DE929,Region Hannover,Region Hannover
DE0063,Tierärztliche Hochschule Hannover,public,University,No,www.tiho-hannover.de,DE92,Hannover,Hannover,DE929,Region Hannover,Region Hannover
DE0064,Stiftung Universität Hildesheim,public,University,No,www.uni-hildesheim.de,DE92,Hannover,Hannover,DE925,Hildesheim,Hildesheim
DE0065,Leuphana Universität Lüneburg,public,University,No,www.leuphana.de,DE93,Lüneburg,Lüneburg,DE935,"Lüneburg, Landkreis","Lüneburg, Landkreis"
DE0066,Carl von Ossietzky Universität Oldenburg,public,University,No,uol.de,DE94,Weser-Ems,Weser-Ems,DE943,"Oldenburg (Oldenburg), Kreisfreie Stadt","Oldenburg (Oldenburg), Kreisfreie Stadt"
DE0067,Universität Osnabrück,public,University,No,www.uni-osnabrueck.de,DE94,Weser-Ems,Weser-Ems,DE944,"Osnabrück, Kreisfreie Stadt","Osnabrück, Kreisfreie Stadt"
DE0068,Universität Vechta,public,University,No,www.uni-vechta.de,DE94,Weser-Ems,Weser-Ems,DE94F,Vechta,Vechta
DE0069,RWTH Aachen,public,University,Yes,www.rwth-aachen.de,DEA2,Köln,Köln,DEA2D,Städteregion Aachen,Städteregion Aachen
DE0070,Universität Bielefeld,public,University,No,www.uni-bielefeld.de,DEA4,Detmold,Detmold,DEA41,"Bielefeld, Kreisfreie Stadt","Bielefeld, Kreisfreie Stadt"
DE0071,Ruhr-Universität Bochum,public,University,Yes,www.ruhr-uni-bochum.de,DEA5,Arnsberg,Arnsberg,DEA51,"Bochum, Kreisfreie Stadt","Bochum, Kreisfreie Stadt"
DE0072,Rheinische Friedrich-Wilhelms-Universität Bonn,public,University,Yes,www.uni-bonn.de,DEA2,Köln,Köln,DEA22,"Bonn, Kreisfreie Stadt","Bonn, Kreisfreie Stadt"
DE0073,Technische Universität Dortmund,public,University,No,www.tu-dortmund.de,DEA5,Arnsberg,Arnsberg,DEA52,"Dortmund, Kreisfreie Stadt","Dortmund, Kreisfreie Stadt"
DE0074,Heinrich-Heine-Universität Düsseldorf,public,University,Yes,www.uni-duesseldorf.de,DEA1,Düsseldorf,Düsseldorf,DEA11,"Düsseldorf, Kreisfreie Stadt","Düsseldorf, Kreisfreie Stadt"
