NUTS2_Label_2016,score
Abruzzo,76.39
Basilicata,51.84
Calabria,69.88
Campania,70.1
Emilia-Romagna,73.7
Friuli-Venezia Giulia,65.53
Lazio,71.66
Liguria,78.12
Lombardia,77.45
Marche,78.42
Molise,69.4
Piemonte,75.01
Provincia Autonoma di Bolzano/Bozen,81.24
Provincia Autonoma di Trento,74.25
Puglia,62.62
Sardegna,75.3
Sicilia,66.87
Toscana,71.86
Umbria,74.29
Valle d’Aosta/Vallée d’Aoste,72.7
Veneto,63.99
